,subject,number,exam,title,CRN,time,seats,location,instructor,foundation,division,area,connection,textbook,special_info,hidden_days
0,AFDS,"ClassNumber(num='AFDS-399 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=AFDS&crse_numb_in=399&crn_in=10558&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AFDS-399 A01&term_code=201910&term_desc=Fall 2018&crn=10558')",Independent Study,10558,['TBA'],"SeatInfo(max='Max Enroll: 1', taken='Seats Taken: 1', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=AFDS&course-1=399&section-1=A01,Permission of Instructor. ,
1,ANTH,"ClassNumber(num='ANTH-102 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=102&crn_in=10018&seq_numb_in=A')","ClassExam(letter='H', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=H&course=ANTH-102 A&term_code=201910&term_desc=Fall 2018&crn=10018')",Intro to Cultural Anthropology,10018,['M W 12:30 PM - 1:50 PM'],"SeatInfo(max='Max Enroll: 80', taken='Seats Taken: 50', avail='Seats Avail: 30', wait_list='Wait List: 0')",['Location info TBA'],[],BW,DVSS,ARSS,"[ClassConx(num='2023', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CONX&crse_numb_in=20023&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=102&section-1=A,A lab section must be selected with course. Limited to 80. ,Monday Wednesday 12:30  - 1:50 
2,ANTH,"ClassNumber(num='ANTH-102 L01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=102&crn_in=10019&seq_numb_in=L01')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10019,['TBA'],"SeatInfo(max='Max Enroll: 30', taken='Seats Taken: 28', avail='Seats Avail: 2', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=102&section-1=L01,A lecture section must be selected with lab. ,
3,ANTH,"ClassNumber(num='ANTH-102 L02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=102&crn_in=10020&seq_numb_in=L02')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10020,['TBA'],"SeatInfo(max='Max Enroll: 30', taken='Seats Taken: 15', avail='Seats Avail: 15', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=102&section-1=L02,A lecture section must be selected with lab. ,
4,ANTH,"ClassNumber(num='ANTH-102 L03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=102&crn_in=10021&seq_numb_in=L03')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10021,['TBA'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 7', avail='Seats Avail: 13', wait_list='Wait List: 0')",['Location info TBA'],[],,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=102&section-1=L03,A lecture section must be selected with lab. ,
5,ANTH,"ClassNumber(num='ANTH-210 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=210&crn_in=10407&seq_numb_in=A')","ClassExam(letter='N', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=N&course=ANTH-210 A&term_code=201910&term_desc=Fall 2018&crn=10407')",Feast or Famine:Eco Pol Food,10407,['T R 11:00 AM - 12:20 PM'],"SeatInfo(max='Max Enroll: 25', taken='Seats Taken: 14', avail='Seats Avail: 11', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,"[ClassConx(num='2302', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CONX&crse_numb_in=23002&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=210&section-1=A,Prerequisite: ANTH 102.  Limited to 25. ,Tuesday Thursday 11:00  - 12:20 
6,ANTH,"ClassNumber(num='ANTH-230 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=230&crn_in=10023&seq_numb_in=A')","ClassExam(letter='M', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=M&course=ANTH-230 A&term_code=201910&term_desc=Fall 2018&crn=10023')",Language and Culture,10023,['T R 9:30 AM - 10:50 AM'],"SeatInfo(max='Max Enroll: 36', taken='Seats Taken: 35', avail='Seats Avail: 1', wait_list='Wait List: 0')",['Location info TBA'],[],BW,DVSS,ARSS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=230&section-1=A,Limited to 36. ,Tuesday Thursday 9:30  - 10:50 
7,ANTH,"ClassNumber(num='ANTH-295 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=295&crn_in=10022&seq_numb_in=A')","ClassExam(letter='I', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=I&course=ANTH-295 A&term_code=201910&term_desc=Fall 2018&crn=10022')",Peoples and Cultures of S.Asia,10022,['T R 12:30 PM - 1:50 PM'],"SeatInfo(max='Max Enroll: 35', taken='Seats Taken: 15', avail='Seats Avail: 20', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Owens, Bruce M.', link='https://wheatoncollege.edu/academics/faculty-directory/Bruce-Owens/')]",BW,DVSS,ARSS,"[ClassConx(num='2032', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=CONX&crse_numb_in=20032&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=295&section-1=A,Limited to 35. ,Tuesday Thursday 12:30  - 1:50 
8,ANTH,"ClassNumber(num='ANTH-302 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=302&crn_in=10024&seq_numb_in=A')","ClassExam(letter='O', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=O&course=ANTH-302 A&term_code=201910&term_desc=Fall 2018&crn=10024')",Research Methods,10024,['T R 2:00 PM - 3:20 PM'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 6', avail='Seats Avail: 14', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",,DVSS,ARSS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=302&section-1=A,Open to Sophomore and Junior Anthropology Majors or Permission of Instructor.  Limited to 20. ,Tuesday Thursday 2:00  - 3:20 
9,ANTH,"ClassNumber(num='ANTH-401 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201910&subj_code_in=ANTH&crse_numb_in=401&crn_in=10025&seq_numb_in=A')","ClassExam(letter='K', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=K&course=ANTH-401 A&term_code=201910&term_desc=Fall 2018&crn=10025')",Senior Seminar,10025,['W 2:00 PM - 4:50 PM'],"SeatInfo(max='Max Enroll: 999', taken='Seats Taken: 7', avail='Seats Avail: 992', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Owens, Bruce M.', link='https://wheatoncollege.edu/academics/faculty-directory/Bruce-Owens/')]",,DVSS,ARSS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2018&div-1=&dept-1=ANTH&course-1=401&section-1=A,Open to Senior Majors or Permission of Instructor. ,Wednesday 2:00  - 4:50 
