,subject,number,exam,title,CRN,time,seats,location,instructor,foundation,division,area,connection,textbook,special_info,hidden_days
0,ARTS,"ClassNumber(num='ARTS-316 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=ARTS&crse_numb_in=316&crn_in=50020&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ARTS-316 S&term_code=201835&term_desc=Summer 2018&crn=50020')",Arts in Ireland,50020,['TBA'],"SeatInfo(max='Max Enroll: 15', taken='Seats Taken: 9', avail='Seats Avail: 6', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Goff, Kelly', link='https://wheatoncollege.edu/academics/faculty-directory/Kelly-Goff/')]",,DVAH,ARCA,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=ARTS&course-1=316&section-1=S,Faculty led overseas program. Permission of Program Directors. Limited to 15. ,
1,AST,"ClassNumber(num='AST-140 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=AST&crse_numb_in=140&crn_in=50008&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AST-140 S&term_code=201835&term_desc=Summer 2018&crn=50008')",The Solar System,50008,['M T W R 8:00 PM - 10:30 PM'],"SeatInfo(max='Max Enroll: 15', taken='Seats Taken: 7', avail='Seats Avail: 8', wait_list='Wait List: 0')",['Science Center B234'],"[ClassInstructor(name='Barker, Philip T.', link='https://wheatoncollege.edu/academics/faculty-directory/timothy-barker/')]",,DVNS,ARNS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=AST&course-1=140&section-1=S,"This course meets on campus from May 21 to June 15, 2018. The courses requires a minimum enrollment of 8 students to be held. Limited to 15. ",Monday Tuesday Wednesday Thursday 8:00  - 10:30 
2,BIO,"ClassNumber(num='BIO-105 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=BIO&crse_numb_in=105&crn_in=50002&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-105 S&term_code=201835&term_desc=Summer 2018&crn=50002')",Nutrition,50002,['T W R F 9:00 AM - 2:00 PM'],"SeatInfo(max='Max Enroll: 15', taken='Seats Taken: 13', avail='Seats Avail: 2', wait_list='Wait List: 0')",['Mars Center-Science/Technology 1143'],"[ClassInstructor(name='Ackerman-Morris, Shari', link='https://wheatoncollege.edu/academics/faculty-directory/shari-morris/')]",,DVNS,ARNS,"[ClassConx(num='2302', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=23002&crn_in=&seq_numb_in='), ClassConx(num='2321', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=23021&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=BIO&course-1=105&section-1=S,"Laboratory fee $300. This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. Limited to 15. ",Tuesday Wednesday Thursday Friday 9:00  - 2:00 
3,BIO,"ClassNumber(num='BIO-298 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=BIO&crse_numb_in=298&crn_in=50003&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-298 S&term_code=201835&term_desc=Summer 2018&crn=50003')",Research in Regenerative Bio,50003,['T W R F 9:00 AM - 12:00 PM'],"SeatInfo(max='Max Enroll: 12', taken='Seats Taken: 5', avail='Seats Avail: 7', wait_list='Wait List: 0')",['Mars Center-Science/Technology 1145'],"[ClassInstructor(name='Lanni, Jennifer S.', link='https://wheatoncollege.edu/academics/faculty-directory/Jennifer-Lanni/')]",,DVNS,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=BIO&course-1=298&section-1=S,"Prerequisite: BIO 112, Cells and Genes or equivalent. Laboratory fee $300. Limited to 12. This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. ",Tuesday Wednesday Thursday Friday 9:00  - 12:00 
4,ESCI,"ClassNumber(num='ESCI-398 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=ESCI&crse_numb_in=398&crn_in=50022&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ESCI-398 S&term_code=201835&term_desc=Summer 2018&crn=50022')",Geology of Iceland,50022,['TBA'],"SeatInfo(max='Max Enroll: 12', taken='Seats Taken: 12', avail='Seats Avail: 0', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Evans, Matthew J.', link='https://wheatoncollege.edu/academics/faculty-directory/Matthew-Evans/'), ClassInstructor(name='Collins, Geoffrey C.', link='https://wheatoncollege.edu/academics/faculty-directory/Geoffrey-Collins/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=ESCI&course-1=398&section-1=S,Faculty led overseas program. Permission of Program Directors. ,
5,INT,"ClassNumber(num='INT-085 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=INT&crse_numb_in=085&crn_in=50017&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=INT-085 S&term_code=201835&term_desc=Summer 2018&crn=50017')",Summer Internship Experience I,50017,['TBA'],"SeatInfo(max='Max Enroll: 999', taken='Seats Taken: 4', avail='Seats Avail: 995', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=INT&course-1=085&section-1=S,,
6,INT,"ClassNumber(num='INT-090 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=INT&crse_numb_in=090&crn_in=50018&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=INT-090 S&term_code=201835&term_desc=Summer 2018&crn=50018')",Summer Internship Exp II,50018,['TBA'],"SeatInfo(max='Max Enroll: 999', taken='Seats Taken: 0', avail='Seats Avail: 999', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=INT&course-1=090&section-1=S,"Prerequisite: INT 085, Summer Internship Experience I. ",
7,INT,"ClassNumber(num='INT-095 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=INT&crse_numb_in=095&crn_in=50019&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=INT-095 S&term_code=201835&term_desc=Summer 2018&crn=50019')",Summer Internship Exp III,50019,['TBA'],"SeatInfo(max='Max Enroll: 999', taken='Seats Taken: 0', avail='Seats Avail: 999', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=INT&course-1=095&section-1=S,"Prerequisite: INT 090, Summer Internship Experience II. ",
8,INT,"ClassNumber(num='INT-298 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=INT&crse_numb_in=298&crn_in=50016&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=INT-298 S&term_code=201835&term_desc=Summer 2018&crn=50016')",German & Austrian Modernism,50016,['TBA'],"SeatInfo(max='Max Enroll: 15', taken='Seats Taken: 13', avail='Seats Avail: 2', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Bohn Case, Laura', link='https://wheatoncollege.edu/academics/faculty-directory/laura-bohn/'), ClassInstructor(name='Case, Delvyn', link='https://wheatoncollege.edu/academics/faculty-directory/Delvyn-Case/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=INT&course-1=298&section-1=S,Permission of Program Directors. Limited to 15. ,
9,MUSC,"ClassNumber(num='MUSC-298 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=MUSC&crse_numb_in=298&crn_in=50021&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MUSC-298 S&term_code=201835&term_desc=Summer 2018&crn=50021')",Arts in Ireland,50021,['TBA'],"SeatInfo(max='Max Enroll: 15', taken='Seats Taken: 6', avail='Seats Avail: 9', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Allen, Matthew H.', link='https://wheatoncollege.edu/academics/faculty-directory/Matthew-Allen/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=MUSC&course-1=298&section-1=S,Faculty led overseas program. Permission of Program Directors. Limited to 15. ,
