,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,ANTH,"ClassNumber(num='ANTH-215 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=ANTH&crse_numb_in=215&crn_in=50013&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ANTH-215 S&term_code=201835&term_desc=Summer 2018&crn=50013')",Tanzania: Educ & Development,50013,['TBA'],['Location info TBA'],"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=ANTH&course-1=215&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')",Faculty led overseas trip. Permission of Program Coordinator. Limited to 15. 
1,AST,"ClassNumber(num='AST-140 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=AST&crse_numb_in=140&crn_in=50008&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AST-140 S&term_code=201835&term_desc=Summer 2018&crn=50008')",The Solar System,50008,['M T W R 8:00 PM - 10:30 PM'],['Location info TBA'],"[ClassInstructor(name='Barker, Philip T.', link='https://wheatoncollege.edu/academics/faculty-directory/timothy-barker/')]",,DVNS,ARNS,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=AST&course-1=140&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","This course meets on campus from May 21 to June 15, 2018. The courses requires a minimum enrollment of 8 students to be held. Limited to 15. "
2,BIO,"ClassNumber(num='BIO-105 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=BIO&crse_numb_in=105&crn_in=50002&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-105 S&term_code=201835&term_desc=Summer 2018&crn=50002')",Nutrition,50002,['T W R F 9:00 AM - 2:00 PM'],['Location info TBA'],"[ClassInstructor(name='Ackerman-Morris, Shari', link='https://wheatoncollege.edu/academics/faculty-directory/shari-morris/')]",,DVNS,ARNS,"[ClassConx(num='2302', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=23002&crn_in=&seq_numb_in='), ClassConx(num='2321', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=23021&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=BIO&course-1=105&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","Laboratory fee $300. This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. Limited to 15. "
3,BIO,"ClassNumber(num='BIO-298 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=BIO&crse_numb_in=298&crn_in=50003&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-298 S&term_code=201835&term_desc=Summer 2018&crn=50003')",Research in Regenerative Bio,50003,['T W R F 9:00 AM - 12:00 PM'],['Location info TBA'],"[ClassInstructor(name='Lanni, Jennifer S.', link='https://wheatoncollege.edu/academics/faculty-directory/Jennifer-Lanni/')]",,DVNS,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=BIO&course-1=298&section-1=S,"SeatInfo(max='Max Enroll: 12', taken='Max Enroll: 12', avail='Max Enroll: 12', wait_list='Max Enroll: 12')","Prerequisite: BIO 112, Cells and Genes or equivalent. Laboratory fee $300. Limited to 12. This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. "
4,CHEM,"ClassNumber(num='CHEM-103 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CHEM&crse_numb_in=103&crn_in=50006&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=CHEM-103 S&term_code=201835&term_desc=Summer 2018&crn=50006')",Chemistry and Your Environment,50006,"['W F 9:00 AM - 12:30 PM', 'T R 11:00 AM - 12:30 PM']","['Location info TBA', 'Location info TBA']","[ClassInstructor(name='Benoit, Janina M.', link='https://wheatoncollege.edu/academics/faculty-directory/jani-benoit/')]",,DVNS,ARNS,"[ClassConx(num='2309', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=23009&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=CHEM&course-1=103&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","Laboratory fee $300. This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. Limited to 15. "
5,ENG,"ClassNumber(num='ENG-101 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=ENG&crse_numb_in=101&crn_in=50012&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ENG-101 S&term_code=201835&term_desc=Summer 2018&crn=50012')",Writing: About Monsters,50012,['T W R F 9:30 AM - 12:00 PM'],['Location info TBA'],"[ClassInstructor(name='Dugan, Andrew R.', link='https://wheatoncollege.edu/academics/faculty-directory/Andrew-Dugan/')]",WR,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=ENG&course-1=101&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. Limited to 15. "
6,GER,"ClassNumber(num='GER-198 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=GER&crse_numb_in=198&crn_in=50001&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=GER-198 S&term_code=201835&term_desc=Summer 2018&crn=50001')",Intensive German,50001,['M T W R 9:30 AM - 12:00 PM'],['Location info TBA'],"[ClassInstructor(name='Lee, Tessa C.', link='https://wheatoncollege.edu/academics/faculty-directory/Tessa-Lee/')]",FL,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=GER&course-1=198&section-1=S,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')","This course meets on campus from May 21 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. Limited to 20. "
7,INT,"ClassNumber(num='INT-098 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=INT&crse_numb_in=098&crn_in=50014&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=INT-098 S&term_code=201835&term_desc=Summer 2018&crn=50014')",Summer Internship Experience,50014,['TBA'],['Location info TBA'],"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=INT&course-1=098&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')",
8,PHIL,"ClassNumber(num='PHIL-125 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=PHIL&crse_numb_in=125&crn_in=50009&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PHIL-125 S&term_code=201835&term_desc=Summer 2018&crn=50009')",Logic,50009,['T W R 1:00 PM - 4:30 PM'],['Location info TBA'],"[ClassInstructor(name='Kendrick, Nancy E.', link='https://wheatoncollege.edu/academics/faculty-directory/Nancy-Kendrick/')]",QA,DVAH,ARHM,"[ClassConx(num='2003', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=20003&crn_in=&seq_numb_in='), ClassConx(num='2016', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=20016&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=PHIL&course-1=125&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. Limited to 15. "
9,POLS,"ClassNumber(num='POLS-109 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=POLS&crse_numb_in=109&crn_in=50007&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=POLS-109 S&term_code=201835&term_desc=Summer 2018&crn=50007')",Intro International Relations,50007,['T W R F 2:00 PM - 4:30 PM'],['Location info TBA'],"[ClassInstructor(name='Westfall, Aubrey', link='https://wheatoncollege.edu/academics/faculty-directory/Aubrey-Westfall/')]",,DVSS,ARSS,"[ClassConx(num='2030', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201835&subj_code_in=CONX&crse_numb_in=20030&crn_in=&seq_numb_in=')]",https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2018&div-1=&dept-1=POLS&course-1=109&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","This course meets on campus from May 22 to June 15, 2018. This course requires a minimum enrollment of 8 students to be held. Limited to 15. "
