,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,AFDS,"ClassNumber(num='AFDS-103 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=AFDS&crse_numb_in=103&crn_in=10206&seq_numb_in=A')","ClassExam(letter='S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=S&course=AFDS-103 A&term_code=201810&term_desc=Fall 2017&crn=10206')","Intro African,Diaspora Stdies",10206,T R 2:00 PM - 3:20 PM,Meneely Hall 105,"[ClassInstructor(name='Nunez, Caryl M.', link='https://wheatoncollege.edu/academics/faculty-directory/Caryl-Nunez/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=AFDS&course-1=103&section-1=A,"SeatInfo(max='Max Enroll: 35', taken='Max Enroll: 35', avail='Max Enroll: 35', wait_list='Max Enroll: 35')",Limited to 35. 
1,AFDS,"ClassNumber(num='AFDS-299 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=AFDS&crse_numb_in=299&crn_in=10610&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AFDS-299 A01&term_code=201810&term_desc=Fall 2017&crn=10610')",Independent Study,10610,TBA,Location info TBA,"[ClassInstructor(name='Christian, Shawn A.', link='https://wheatoncollege.edu/academics/faculty-directory/Shawn-Christian/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=AFDS&course-1=299&section-1=A01,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of Instructor. 
2,AFDS,"ClassNumber(num='AFDS-399 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=AFDS&crse_numb_in=399&crn_in=10612&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AFDS-399 A01&term_code=201810&term_desc=Fall 2017&crn=10612')",Independent Study,10612,TBA,Location info TBA,"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=AFDS&course-1=399&section-1=A01,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of Instructor. 
3,ANTH,"ClassNumber(num='ANTH-099 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=ANTH&crse_numb_in=099&crn_in=10616&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ANTH-099 A01&term_code=201810&term_desc=Fall 2017&crn=10616')",Independent Study,10616,TBA,Location info TBA,"[ClassInstructor(name='MacLeod, Joshua P.', link='https://wheatoncollege.edu/academics/faculty-directory/Joshua-MacLeod/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=ANTH&course-1=099&section-1=A01,"SeatInfo(max='Max Enroll: 4', taken='Max Enroll: 4', avail='Max Enroll: 4', wait_list='Max Enroll: 4')",(.50 Credit) 
4,ANTH,"ClassNumber(num='ANTH-101 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=ANTH&crse_numb_in=101&crn_in=10022&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=ANTH-101 A&term_code=201810&term_desc=Fall 2017&crn=10022')",Human Evolution,10022,M W F 9:30 AM - 10:20 AM,Knapton Hall 214,"[ClassInstructor(name='DiGregorio, Giampaolo A.', link='https://wheatoncollege.edu/academics/faculty-directory/Giampaolo-DiGregorio/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=ANTH&course-1=101&section-1=A,"SeatInfo(max='Max Enroll: 80', taken='Max Enroll: 80', avail='Max Enroll: 80', wait_list='Max Enroll: 80')",Limited to 80. 20 seats reserved for First Years. 
5,ANTH,"ClassNumber(num='ANTH-102 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=ANTH&crse_numb_in=102&crn_in=10018&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=ANTH-102 A&term_code=201810&term_desc=Fall 2017&crn=10018')",Intro to Cultural Anthropology,10018,M W 12:30 PM - 1:50 PM,Knapton Hall LEC,"[ClassInstructor(name='MacLeod, Joshua P.', link='https://wheatoncollege.edu/academics/faculty-directory/Joshua-MacLeod/')]",BW,DVSS,ARSS,"[ClassConx(num='2023', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=CONX&crse_numb_in=20023&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=ANTH&course-1=102&section-1=A,"SeatInfo(max='Max Enroll: 80', taken='Max Enroll: 80', avail='Max Enroll: 80', wait_list='Max Enroll: 80')",A lab section must be selected with course. Limited to 80. 
6,ANTH,"ClassNumber(num='ANTH-102 L01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=ANTH&crse_numb_in=102&crn_in=10019&seq_numb_in=L01')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10019,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=ANTH&course-1=102&section-1=L01,"SeatInfo(max='Max Enroll: 30', taken='Max Enroll: 30', avail='Max Enroll: 30', wait_list='Max Enroll: 30')",A lecture section must be selected with lab. 
7,ANTH,"ClassNumber(num='ANTH-102 L02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=ANTH&crse_numb_in=102&crn_in=10020&seq_numb_in=L02')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10020,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=ANTH&course-1=102&section-1=L02,"SeatInfo(max='Max Enroll: 30', taken='Max Enroll: 30', avail='Max Enroll: 30', wait_list='Max Enroll: 30')",A lecture section must be selected with lab. 
8,ANTH,"ClassNumber(num='ANTH-102 L03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=ANTH&crse_numb_in=102&crn_in=10021&seq_numb_in=L03')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10021,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=ANTH&course-1=102&section-1=L03,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",A lecture section must be selected with lab. 
9,ANTH,"ClassNumber(num='ANTH-260 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=ANTH&crse_numb_in=260&crn_in=10340&seq_numb_in=A')","ClassExam(letter='O', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=O&course=ANTH-260 A&term_code=201810&term_desc=Fall 2017&crn=10340')",Gender and Development,10340,T R 2:00 PM - 3:20 PM,Knapton Hall LEC,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=ANTH&course-1=260&section-1=A,"SeatInfo(max='Max Enroll: 47', taken='Max Enroll: 47', avail='Max Enroll: 47', wait_list='Max Enroll: 47')",Cross-listed with WGS 262. 
