,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,ANTH,"ClassNumber(num='ANTH-102 B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=102&crn_in=10018&seq_numb_in=B')","ClassExam(letter='H.', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=H.&course=ANTH-102 B&term_code=201920&term_desc=Spring 2019&crn=10018')",Intro to Cultural Anthropology,10018,M W 12:30 PM - 1:50 PM,Location info TBA,[],BW,DVSS,ARSS,"[ClassConx(num='2023', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=CONX&crse_numb_in=20023&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=102&section-1=B,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",A lab section must be selected with course. Limited to 80. 
1,ANTH,"ClassNumber(num='ANTH-102 L01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=102&crn_in=10019&seq_numb_in=L01')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10019,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=102&section-1=L01,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",A lecture section must be selected with lab. 
2,ANTH,"ClassNumber(num='ANTH-102 L02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=102&crn_in=10020&seq_numb_in=L02')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10020,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=102&section-1=L02,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",A lecture section must be selected with lab. 
3,ANTH,"ClassNumber(num='ANTH-102 L03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=102&crn_in=10021&seq_numb_in=L03')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10021,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=102&section-1=L03,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",A lecture section must be selected with lab. 
4,ANTH,"ClassNumber(num='ANTH-226 B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=226&crn_in=10022&seq_numb_in=B')","ClassExam(letter='M.', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=M.&course=ANTH-226 B&term_code=201920&term_desc=Spring 2019&crn=10022')",The Anthropology of Art,10022,T R 9:30 AM - 10:50 AM,Location info TBA,"[ClassInstructor(name='Owens, Bruce M.', link='https://wheatoncollege.edu/academics/faculty-directory/Bruce-Owens/')]",BW,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=226&section-1=B,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')","Open to Seniors, Juniors, Sophomores or Permission of Instructor. Limited to 25. "
5,ANTH,"ClassNumber(num='ANTH-235 B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=235&crn_in=10023&seq_numb_in=B')","ClassExam(letter='H.', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=H.&course=ANTH-235 B&term_code=201920&term_desc=Spring 2019&crn=10023')",Peoples & Cultures of Latin Am,10023,M W 12:30 PM - 1:50 PM,Location info TBA,"[ClassInstructor(name='Torres, M. Gabriela', link='https://wheatoncollege.edu/academics/faculty-directory/M. Gabriela-Torres/')]",BW,DVSS,ARSS,"[ClassConx(num='2303', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=CONX&crse_numb_in=23003&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=235&section-1=B,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",10 seats reserved for First Years. Limited to 36. 
6,ANTH,"ClassNumber(num='ANTH-255 B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=255&crn_in=10024&seq_numb_in=B')","ClassExam(letter='N.', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=N.&course=ANTH-255 B&term_code=201920&term_desc=Spring 2019&crn=10024')",Women in Africa,10024,T R 11:00 AM - 12:20 PM,Location info TBA,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,"[ClassConx(num='2301', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=CONX&crse_numb_in=23001&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=255&section-1=B,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Cross-listed with WGS 255.  Limited to 36. 
7,ANTH,"ClassNumber(num='ANTH-298 B01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=298&crn_in=10026&seq_numb_in=B01')","ClassExam(letter='P.', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=P.&course=ANTH-298 B01&term_code=201920&term_desc=Spring 2019&crn=10026')",Archeology North America,10026,T R 3:30 PM - 4:50 PM,Location info TBA,"[ClassInstructor(name='Trayford, Jeffrey A.', link='https://wheatoncollege.edu/academics/faculty-directory/Jeffrey-Trayford/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=298&section-1=B01,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Limited to 36. 
8,ANTH,"ClassNumber(num='ANTH-301 B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=301&crn_in=10027&seq_numb_in=B')","ClassExam(letter='I.', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=I.&course=ANTH-301 B&term_code=201920&term_desc=Spring 2019&crn=10027')",Sem: Anthropological Theory,10027,T R 12:30 PM - 1:50 PM,Location info TBA,"[ClassInstructor(name='Owens, Bruce M.', link='https://wheatoncollege.edu/academics/faculty-directory/Bruce-Owens/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=301&section-1=B,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')","Open to Sophomore, Junior and Senior Anthropology Majors or Permission of Instructor. "
9,ANTH,"ClassNumber(num='ANTH-311 B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201920&subj_code_in=ANTH&crse_numb_in=311&crn_in=10290&seq_numb_in=B')","ClassExam(letter='K.', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=K.&course=ANTH-311 B&term_code=201920&term_desc=Spring 2019&crn=10290')",Violence Against Women,10290,W 2:00 PM - 4:50 PM,Location info TBA,"[ClassInstructor(name='Torres, M. Gabriela', link='https://wheatoncollege.edu/academics/faculty-directory/M. Gabriela-Torres/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Spring+2019&div-1=&dept-1=ANTH&course-1=311&section-1=B,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Cross-listed with SOC 311 and WGS 311. Permission of Instructor. Limited to 25. 
