,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,ANTH,"ClassNumber(num='ANTH-215 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=ANTH&crse_numb_in=215&crn_in=50035&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ANTH-215 S&term_code=201435&term_desc=Summer 2014&crn=50035')",Tanzania: Educ & Development,50035,TBA,Location info TBA,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=ANTH&course-1=215&section-1=S,"SeatInfo(max='Max Enroll: 14', taken='Max Enroll: 14', avail='Max Enroll: 14', wait_list='Max Enroll: 14')","Faculty led overseas trip.  May 27 - June 25, 2014. "
1,ARTH,"ClassNumber(num='ARTH-230 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=ARTH&crse_numb_in=230&crn_in=50025&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ARTH-230 S&term_code=201435&term_desc=Summer 2014&crn=50025')",Introduction to Museum Studies,50025,M T W R 2:00 PM - 4:30 PM,Watson Fine Arts Center 145,"[ClassInstructor(name='Niederstadt, Leah N.', link='https://wheatoncollege.edu/academics/faculty-directory/Leah-Niederstadt/')]",,DVAH,ARHM,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=ARTH&course-1=230&section-1=S,"SeatInfo(max='Max Enroll: 16', taken='Max Enroll: 16', avail='Max Enroll: 16', wait_list='Max Enroll: 16')","This course meets from May 19 to June 13, 2014. This course will require a minimum enrollment of 8 students to be held. "
2,ARTS,"ClassNumber(num='ARTS-116 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=ARTS&crse_numb_in=116&crn_in=50003&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ARTS-116 S&term_code=201435&term_desc=Summer 2014&crn=50003')",Drawing I,50003,M T W R 9:30 AM - 12:00 PM,Mars Arts & Humanities A225,"[ClassInstructor(name='Fieo, Claudia R.', link='https://wheatoncollege.edu/academics/faculty-directory/claudia-r-fieo/')]",,DVAH,ARCA,"[ClassConx(num='2047', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=CONX&crse_numb_in=20047&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=ARTS&course-1=116&section-1=S,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')","This course meets from May 19 to June 13, 2014. This course will require a minimum enrollment of 8 students to be held. "
3,BIO,"ClassNumber(num='BIO-106 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=BIO&crse_numb_in=106&crn_in=50032&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-106 S&term_code=201435&term_desc=Summer 2014&crn=50032')",Human Anatomy,50032,M T W R 8:30 AM - 11:00 AM!M T W R 11:30 AM - 2:00 PM,Mars Center-Science/Technology 1143!Mars Center-Science/Technology 1143,"[ClassInstructor(name='Ackerman-Morris, Shari', link='https://wheatoncollege.edu/academics/faculty-directory/shari-morris/')]",,DVNS,ARNS,"[ClassConx(num='2001', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=CONX&crse_numb_in=20001&crn_in=&seq_numb_in='), ClassConx(num='2010', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=CONX&crse_numb_in=20010&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=BIO&course-1=106&section-1=S,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')","This course meets from May 19 to June 13, 2014. This course will require a minimum enrollment of 8 students to be held. "
4,MATH,"ClassNumber(num='MATH-141 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=MATH&crse_numb_in=141&crn_in=50012&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MATH-141 S&term_code=201435&term_desc=Summer 2014&crn=50012')",Introductory Statistics,50012,M T W R 9:30 AM - 12:00 PM,Science Center 1314,"[ClassInstructor(name='DeCoste, Rachelle C.', link='https://wheatoncollege.edu/academics/faculty-directory/rachelle-c-decoste/')]",QA,,ARMC,"[ClassConx(num='2044', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=CONX&crse_numb_in=20044&crn_in=&seq_numb_in='), ClassConx(num='2063', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=CONX&crse_numb_in=20063&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=MATH&course-1=141&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","This course meets from May 19 to June 13, 2014. Due to the intensive nature of this course, students enrolled in this class should not have other substantial time commitments during the four weeks of summer session. This course will require a minimum enrollment of 8 students to be held. "
5,PHIL,"ClassNumber(num='PHIL-125 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=PHIL&crse_numb_in=125&crn_in=50005&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PHIL-125 S&term_code=201435&term_desc=Summer 2014&crn=50005')",Logic,50005,M T W R 9:30 AM - 12:00 PM,Meneely Hall 205,"[ClassInstructor(name='Partridge, John K.', link='https://wheatoncollege.edu/academics/faculty-directory/John-Partridge/')]",QA,DVAH,ARHM,"[ClassConx(num='2003', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=CONX&crse_numb_in=20003&crn_in=&seq_numb_in='), ClassConx(num='2016', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=CONX&crse_numb_in=20016&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=PHIL&course-1=125&section-1=S,"SeatInfo(max='Max Enroll: 45', taken='Max Enroll: 45', avail='Max Enroll: 45', wait_list='Max Enroll: 45')","This course meets from May 19 to June 13, 2014. This course will require a minimum enrollment of 8 students to be held. "
6,POLS,"ClassNumber(num='POLS-299 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=POLS&crse_numb_in=299&crn_in=50037&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=POLS-299 S&term_code=201435&term_desc=Summer 2014&crn=50037')",Independent Study,50037,TBA,Location info TBA,"[ClassInstructor(name='Shomali, Alireza', link='https://wheatoncollege.edu/academics/faculty-directory/Alireza-Shomali/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=POLS&course-1=299&section-1=S,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of Instructor. 
7,PSY,"ClassNumber(num='PSY-202 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=PSY&crse_numb_in=202&crn_in=50008&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PSY-202 S&term_code=201435&term_desc=Summer 2014&crn=50008')",Quantitative Research Methods,50008,M T W R 2:00 PM - 4:30 PM,Mars Center-Science/Technology 1120,"[ClassInstructor(name='Nelson, Rolf A.', link='https://wheatoncollege.edu/academics/faculty-directory/Rolf-Nelson/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=PSY&course-1=202&section-1=S,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')","This course meets from May 19 to June 13, 2014. This course will require a minimum enrollment of 8 students to be held. "
8,REL,"ClassNumber(num='REL-102 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=REL&crse_numb_in=102&crn_in=50006&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=REL-102 S&term_code=201435&term_desc=Summer 2014&crn=50006')",Intro to Study World Religions,50006,M T W R 2:00 PM - 4:30 PM,Meneely Hall 209,"[ClassInstructor(name='Darling-Smith, Barbara', link='https://wheatoncollege.edu/academics/faculty-directory/Barbara-Darling-Smith/'), ClassInstructor(name='Brumberg-Kraus, Jonathan D.', link='https://wheatoncollege.edu/academics/faculty-directory/Jonathan-Brumberg-Kraus/')]",BW,DVAH,ARHM,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=REL&course-1=102&section-1=S,"SeatInfo(max='Max Enroll: 45', taken='Max Enroll: 45', avail='Max Enroll: 45', wait_list='Max Enroll: 45')","This course meets from May 19 to June 13, 2014. This course will require a minimum enrollment of 8 students to be held. "
9,THEA,"ClassNumber(num='THEA-298 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201435&subj_code_in=THEA&crse_numb_in=298&crn_in=50036&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=THEA-298 S&term_code=201435&term_desc=Summer 2014&crn=50036')",Apprec of Chinese Culture,50036,TBA,Location info TBA,"[ClassInstructor(name='Tong, Edmund', link='https://wheatoncollege.edu/academics/faculty-directory/Edmund-Tong/')]",,DVAH,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2014&div-1=&dept-1=THEA&course-1=298&section-1=S,"SeatInfo(max='Max Enroll: 9', taken='Max Enroll: 9', avail='Max Enroll: 9', wait_list='Max Enroll: 9')","Faculty led overseas trip.  May 19-June 11, 2014. "
